"Seed","Configuration_ID","Test_Observations","Prefilter_Stack_BA","Standard_Stack_BA","Hard_Vote_BA","XGBoost_BA","Prefilter_Stack_Accuracy","Standard_Stack_Accuracy","Hard_Vote_Accuracy","XGBoost_Accuracy","Direct_Vote_Rate","Cases_Sent_To_Meta","Meta_Route_Accuracy","Direct_Route_Accuracy","Prefilter_Minus_Standard","Prefilter_Minus_Hard_Vote","Prefilter_Minus_XGBoost"
4100,"SpambasePrefilter5of6OOFThresholds",919,0.959533114454904,0.96125901385679,0.955734151978337,0.953938819841892,0.959738846572361,0.963003264417845,0.958650707290533,0.956474428726877,0.957562568008705,39,0.641025641025641,0.973863636363636,-0.0017258994018865,0.00379896247656653,0.00559429461301186
4200,"SpambasePrefilter5of6OOFThresholds",919,0.946135076425603,0.949934038902169,0.945720959758771,0.952835335310513,0.949945593035909,0.951033732317737,0.94885745375408,0.951033732317737,0.958650707290533,38,0.710526315789474,0.960272417707151,-0.00379896247656653,0.000414116666831998,-0.00670025888491033
4300,"SpambasePrefilter5of6OOFThresholds",919,0.951868236507732,0.947241040697501,0.95041758830356,0.945376275826498,0.951033732317737,0.947769314472252,0.951033732317737,0.946681175190424,0.951033732317737,45,0.644444444444444,0.966819221967963,0.00462719581023041,0.00145064820417184,0.00649196068123425
4400,"SpambasePrefilter5of6OOFThresholds",919,0.936950117539701,0.944064493091443,0.938470198478431,0.932186536000873,0.942328618063112,0.944504896626768,0.941240478781284,0.933623503808487,0.951033732317737,45,0.666666666666667,0.956521739130435,-0.00711437555174232,-0.00152008093873057,0.00476358153882772
4500,"SpambasePrefilter5of6OOFThresholds",919,0.955873017447454,0.959049565053513,0.953455270440501,0.948069274031165,0.956474428726877,0.959738846572361,0.956474428726877,0.949945593035909,0.949945593035909,46,0.695652173913043,0.970217640320733,-0.00317654760605846,0.0024177470069533,0.00780374341628898
4600,"SpambasePrefilter5of6OOFThresholds",919,0.942752710356388,0.946896356765228,0.934465417538709,0.931219437198092,0.942328618063112,0.945593035908596,0.935799782372144,0.933623503808487,0.945593035908596,50,0.66,0.958573072497123,-0.00414364640883969,0.00828729281767959,0.0115332731582967
4700,"SpambasePrefilter5of6OOFThresholds",919,0.938125514546158,0.940679647281708,0.932808950871381,0.938745449676146,0.939064200217628,0.944504896626768,0.931447225244831,0.944504896626768,0.947769314472252,48,0.666666666666667,0.954075774971297,-0.00255413273555061,0.00531656367477706,-0.000619935129987925
4800,"SpambasePrefilter5of6OOFThresholds",919,0.949311624031661,0.955942450182013,0.945031591894224,0.938609063947549,0.953210010881393,0.955386289445049,0.944504896626768,0.939064200217628,0.947769314472252,48,0.791666666666667,0.96211251435132,-0.00663082615035171,0.004280032137437,0.0107025600841127
4900,"SpambasePrefilter5of6OOFThresholds",919,0.944478609758275,0.94005971215172,0.937711397879326,0.936605433607427,0.945593035908596,0.939064200217628,0.9379760609358,0.940152339499456,0.952121871599565,44,0.659090909090909,0.96,0.00441889760655445,0.00676721187894902,0.00787317615084759
5000,"SpambasePrefilter5of6OOFThresholds",919,0.95559776624974,0.954700100181517,0.953318884711904,0.953802434113294,0.953210010881393,0.952121871599565,0.951033732317737,0.951033732317737,0.959738846572361,37,0.594594594594595,0.968253968253968,0.000897666068222724,0.00227888153783584,0.00179533213644534
5100,"SpambasePrefilter5of6OOFThresholds",919,0.938194947280717,0.94164922582501,0.93543251634149,0.927975936597994,0.9379760609358,0.936887921653972,0.935799782372144,0.923830250272035,0.947769314472252,48,0.645833333333333,0.954075774971297,-0.00345427854429325,0.00276243093922646,0.0102190106827221
5200,"SpambasePrefilter5of6OOFThresholds",919,0.941855044288166,0.944064493091443,0.945376275826498,0.934120733606435,0.941240478781284,0.944504896626768,0.946681175190424,0.933623503808487,0.933623503808487,61,0.639344262295082,0.962703962703963,-0.00220944880327723,-0.00352123153833184,0.00773431068173025
5300,"SpambasePrefilter5of6OOFThresholds",919,0.926522808653302,0.933498318735927,0.930391203864428,0.92666167412242,0.931447225244831,0.935799782372144,0.931447225244831,0.929270946681175,0.944504896626768,51,0.588235294117647,0.951612903225806,-0.00697551008262498,-0.00386839521112514,-0.000138865469117344
5400,"SpambasePrefilter5of6OOFThresholds",919,0.951729371038615,0.953594135909619,0.951315254371782,0.945101024628783,0.953210010881393,0.954298150163221,0.952121871599565,0.94341675734494,0.963003264417845,34,0.676470588235294,0.963841807909604,-0.00186476487100395,0.000414116666832109,0.00662834640983179
5500,"SpambasePrefilter5of6OOFThresholds",919,0.944478609758275,0.948413957963439,0.938678496682107,0.936536000872869,0.945593035908596,0.952121871599565,0.9379760609358,0.941240478781284,0.947769314472252,48,0.75,0.956371986222732,-0.00393534820516384,0.00580011307616779,0.00794260888540621
5600,"SpambasePrefilter5of6OOFThresholds",919,0.956423519842884,0.956562385312001,0.952902288304552,0.954697620440997,0.963003264417845,0.960826985854189,0.957562568008705,0.959738846572361,0.951033732317737,45,0.711111111111111,0.975972540045767,-0.000138865469117233,0.00352123153833184,0.00172589940188661
5700,"SpambasePrefilter5of6OOFThresholds",919,0.942474979418154,0.944478609758275,0.938884315145263,0.945445708561056,0.946681175190424,0.945593035908596,0.942328618063112,0.945593035908596,0.944504896626768,51,0.705882352941177,0.960829493087558,-0.00200363034012119,0.00359066427289056,-0.00297072914290242
5800,"SpambasePrefilter5of6OOFThresholds",919,0.942544412152712,0.945445708561056,0.940887945485384,0.940887945485384,0.945593035908596,0.945593035908596,0.941240478781284,0.941240478781284,0.945593035908596,50,0.66,0.962025316455696,-0.0029012964083438,0.00165646666732788,0.00165646666732788
5900,"SpambasePrefilter5of6OOFThresholds",919,0.937227848477935,0.944548042492834,0.935846633008322,0.928595871727982,0.9379760609358,0.944504896626768,0.936887921653972,0.929270946681175,0.947769314472252,48,0.666666666666667,0.95292766934558,-0.00732019401489836,0.00138121546961334,0.00863197674995286
6000,"SpambasePrefilter5of6OOFThresholds",919,0.954697620440997,0.948483390697997,0.943442078220935,0.953869387107333,0.959738846572361,0.951033732317737,0.946681175190424,0.957562568008705,0.955386289445049,41,0.731707317073171,0.970387243735763,0.00621422974299968,0.0112555422200621,0.000828233333663886
6100,"SpambasePrefilter5of6OOFThresholds",919,0.944272791295119,0.947794022833451,0.939092613348939,0.942613844887271,0.941240478781284,0.946681175190424,0.939064200217628,0.944504896626768,0.959738846572361,37,0.486486486486487,0.96031746031746,-0.00352123153833173,0.00518017794617975,0.00165894640784803
6200,"SpambasePrefilter5of6OOFThresholds",919,0.949864606167611,0.954905918644673,0.944409177023716,0.949036372833947,0.952121871599565,0.956474428726877,0.946681175190424,0.949945593035909,0.952121871599565,44,0.795454545454545,0.96,-0.00504131247706241,0.00545542914389441,0.000828233333663997
6300,"SpambasePrefilter5of6OOFThresholds",919,0.946065643691044,0.951040003174068,0.946896356765228,0.94475386095599,0.951033732317737,0.94885745375408,0.945593035908596,0.94885745375408,0.940152339499456,55,0.763636363636364,0.962962962962963,-0.0049743594830236,-0.000830713074183809,0.00131178273505461
6400,"SpambasePrefilter5of6OOFThresholds",919,0.949175238303064,0.948830554370791,0.94731047343206,0.937850263348443,0.947769314472252,0.945593035908596,0.946681175190424,0.935799782372144,0.946681175190424,49,0.591836734693878,0.967816091954023,0.000344683932273382,0.00186476487100395,0.0113249749546209
6500,"SpambasePrefilter5of6OOFThresholds",919,0.938814882410705,0.933979388396798,0.945376275826498,0.923757897973556,0.94341675734494,0.94341675734494,0.946681175190424,0.936887921653972,0.939064200217628,56,0.696428571428571,0.959443800695249,0.00483549401390637,-0.00656139341579298,0.0150569844371484
6600,"SpambasePrefilter5of6OOFThresholds",919,0.950556453772677,0.949589354969896,0.94420335856056,0.940682127022228,0.94885745375408,0.94885745375408,0.942328618063112,0.936887921653972,0.946681175190424,49,0.857142857142857,0.954022988505747,0.000967098802781341,0.00635309521211702,0.00987432675044886
6700,"SpambasePrefilter5of6OOFThresholds",919,0.941924477022724,0.943097394288662,0.937297281212494,0.909464673616553,0.940152339499456,0.944504896626768,0.936887921653972,0.918389553862894,0.94341675734494,52,0.673076923076923,0.956170703575548,-0.00117291726593716,0.00462719581023041,0.0324598034061716
6800,"SpambasePrefilter5of6OOFThresholds",919,0.944064493091443,0.944133925826002,0.949450489500779,0.942822143090947,0.944504896626768,0.94341675734494,0.951033732317737,0.941240478781284,0.947769314472252,48,0.541666666666667,0.966704936854191,-6.94327345586165e-05,-0.00538599640933579,0.001242350000496
6900,"SpambasePrefilter5of6OOFThresholds",919,0.937364234206533,0.948208139500283,0.939298431812095,0.932670085402263,0.94341675734494,0.947769314472252,0.94341675734494,0.933623503808487,0.940152339499456,55,0.636363636363636,0.962962962962963,-0.0108439052937501,-0.00193419760556257,0.0046941488042691
7000,"SpambasePrefilter5of6OOFThresholds",919,0.944892726425107,0.941924477022724,0.944962159159666,0.928320620530268,0.946681175190424,0.940152339499456,0.945593035908596,0.926006528835691,0.94341675734494,52,0.730769230769231,0.959630911188005,0.00296824940238238,-6.94327345587276e-05,0.016572105894839
